,nama_desa,jumlah_dasar,jumlah_berkembang,jumlah_lengkap,jumlah_berkelanjutan,prov,kab,kec,latitude,longitude
0,RANDOMAYANG,0,0,0,1,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,5,20
1,PANGIANG,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,54,43
0,PAKAVA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,54,30
1,KARYA BERSAMA,0,1,0,0,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,83,2
2,AKO,0,1,0,0,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,7,52
0,BARAS,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BARAS,87,38
1,BULU PARIGI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BARAS,44,22
0,SARUDU,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARUDU,4,53
1,DODA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARUDU,16,43
0,DAPURANG,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DAPURANG,58,84
1,SARASA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DAPURANG,82,18
0,SAPTANAJAYA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DURIPOKU,54,31
1,TARANGGI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DURIPOKU,78,44
0,BUKIT HARAPAN,0,1,0,0,SULAWESI BARAT,PASANGKAYU,BULU TABA,2,32
1,SUMBER SARI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BULU TABA,31,11
2,LELEJAE,0,0,0,1,SULAWESI BARAT,PASANGKAYU,BULU TABA,94,96
0,MAKMUR JAYA,0,1,0,0,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,66,11
1,LARIANG,0,0,1,0,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,8,47
0,BATU OGE,1,0,0,0,SULAWESI BARAT,PASANGKAYU,PEDONGGA,22,53
1,MARTASARI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,PEDONGGA,31,78
0,BAMBAIRA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,58,3
1,TAMPAURE,0,1,0,0,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,30,83
0,SARJO,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARJO,47,40
1,MAPONU,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARJO,54,91
0,KULU,0,0,1,0,SULAWESI BARAT,PASANGKAYU,LARIANG,92,81
1,BAMBAKORO,1,0,0,0,SULAWESI BARAT,PASANGKAYU,LARIANG,54,71
0,MAMUNYU,1,0,0,0,SULAWESI BARAT,MAMUJU,MAMUJU,88,84
1,KARAMPUANG,0,1,0,0,SULAWESI BARAT,MAMUJU,MAMUJU,25,38
2,BATU PANNU,0,1,0,0,SULAWESI BARAT,MAMUJU,MAMUJU,61,61
0,TAAN,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,43,6
1,TAMPALANG,0,1,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,11,32
2,RANTEDODA,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,43,81
3,KOPEANG,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,16,69
0,SINYONYOI,1,0,0,0,SULAWESI BARAT,MAMUJU,KALUKKU,83,61
1,KEANG,0,1,0,0,SULAWESI BARAT,MAMUJU,KALUKKU,91,83
2,KALUKKU BARAT,0,1,0,0,SULAWESI BARAT,MAMUJU,KALUKKU,6,91
0,KONDO BULO,1,0,0,0,SULAWESI BARAT,MAMUJU,KALUMPANG,47,82
0,PAPALANG,1,0,0,0,SULAWESI BARAT,MAMUJU,PAPALANG,40,47
1,BONDA,1,0,0,0,SULAWESI BARAT,MAMUJU,PAPALANG,88,56
0,BUNDE,1,0,0,0,SULAWESI BARAT,MAMUJU,SAMPAGA,38,24
1,SAMPAGA,0,1,0,0,SULAWESI BARAT,MAMUJU,SAMPAGA,35,86
0,CAMPALOGA,1,0,0,0,SULAWESI BARAT,MAMUJU,TOMMO,72,82
1,RANTEMARIO,1,0,0,0,SULAWESI BARAT,MAMUJU,TOMMO,52,94
0,SALETTO,0,1,0,0,SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,22,81
1,BOTTENG UTARA,1,0,0,0,SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,54,32
2,TAPANDULLU,0,1,0,0,SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,22,27
0,DUNGKAIT,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,67,68
1,LEBANI,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,20,16
2,LABUANG RANO,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,1,83
3,PASABU,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,28,71
4,PANGASAAN,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,1,6
0,SALUTIWO,1,0,0,0,SULAWESI BARAT,MAMUJU,BONEHAU,70,83
1,MAPPU,1,0,0,0,SULAWESI BARAT,MAMUJU,BONEHAU,43,86
2,BANUADA,1,0,0,0,SULAWESI BARAT,MAMUJU,BONEHAU,63,71
3,HINUA,1,0,0,0,SULAWESI BARAT,MAMUJU,BONEHAU,96,84
0,BALA BALAKANG,1,0,0,0,SULAWESI BARAT,MAMUJU,KEP. BALA BALAKANG,92,6
0,SENDANA,0,1,0,0,SULAWESI BARAT,MAMASA,MAMBI,56,87
1,BUJUNG MANURUNG,0,1,0,0,SULAWESI BARAT,MAMASA,MAMBI,5,86
0,PANETEAN,0,1,0,0,SULAWESI BARAT,MAMASA,ARALLE,72,32
1,UHAILANU,1,0,0,0,SULAWESI BARAT,MAMASA,ARALLE,40,69
0,PEBASSIAN,1,0,0,0,SULAWESI BARAT,MAMASA,MAMASA,58,54
0,DATUBARINGAN,1,0,0,0,SULAWESI BARAT,MAMASA,PANA,94,75
0,BURANA,0,1,0,0,SULAWESI BARAT,MAMASA,TABULAHAN,92,1
0,SASAKAN,0,0,1,0,SULAWESI BARAT,MAMASA,SUMARORONG,79,66
1,SALUBALO,0,0,0,1,SULAWESI BARAT,MAMASA,SUMARORONG,18,20
0,PASMA MAMBU,0,0,0,1,SULAWESI BARAT,MAMASA,MESSAWA,47,1
0,OROBUA,1,0,0,0,SULAWESI BARAT,MAMASA,SESENAPADANG,83,40
1,OROBUA SELATAN,1,0,0,0,SULAWESI BARAT,MAMASA,SESENAPADANG,44,32
0,TAMALANTIK,1,0,0,0,SULAWESI BARAT,MAMASA,TANDUK KALUA,23,4
0,TADOKALUA,1,0,0,0,SULAWESI BARAT,MAMASA,TABANG,88,22
1,TABANG BARAT,0,0,1,0,SULAWESI BARAT,MAMASA,TABANG,4,83
0,MOKALLANG,0,0,0,1,SULAWESI BARAT,MAMASA,BAMBANG,28,20
1,RANTELEMO,0,0,0,1,SULAWESI BARAT,MAMASA,BAMBANG,64,58
0,BALLA SATANETEAN,0,1,0,0,SULAWESI BARAT,MAMASA,BALLA,69,92
1,BALLA TUMUKA,0,0,0,1,SULAWESI BARAT,MAMASA,BALLA,2,92
0,MASEWWE,1,0,0,0,SULAWESI BARAT,MAMASA,NOSU,4,82
0,RANTETANGNGA,1,0,0,0,SULAWESI BARAT,MAMASA,TAWALIAN,81,43
0,BUANGIN,1,0,0,0,SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,68,42
1,SALUMOKANAN UTARA,1,0,0,0,SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,20,64
0,BUNTUMALANGKA,0,1,0,0,SULAWESI BARAT,MAMASA,BUNTUMALANGKA,31,71
0,BOTTENG,0,1,0,0,SULAWESI BARAT,MAMASA,MEHALAAN,83,16
0,TANGNGA TANGNGA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,67,57
1,LEKOPADIS,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,44,32
2,SEPABATU,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,58,81
0,KATUMBANGAN LEMO,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,9,72
1,KENJE,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,35,38
2,SUMARRANG,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,81,8
3,PADANG TIMUR,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,2,88
0,SIDOREJO,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,32,40
1,NEPO,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,18,82
2,TUMPILING,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,13,86
0,POLEWALI,0,0,0,1,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,67,87
1,SULEWATANG,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,91,47
2,TAKATIDUNG,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,11,88
3,MADATE,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,72,20
4,MANDING,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,96,83
5,DARMA,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,58,9
0,TARAMANU,0,0,0,1,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,31,3
1,ARABUA,0,0,1,0,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,4,63
2,TARAMANU TUA,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,18,28
0,TONYAMAN,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,52,58
0,BUSSU,0,0,0,1,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,39,9
1,JAMBU MALEA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,16,15
0,KURMA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,58,13
1,BUKU,0,0,0,1,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,87,78
2,SATTOKO,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,51,44
0,TAPUA,0,0,0,1,SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,54,51
1,MAMBU TAPUA,0,0,0,1,SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,81,86
0,TENGGELANG,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,LUYO,30,82
1,LUYO,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,LUYO,91,42
2,PUCCADI,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,LUYO,42,78
0,SAMASUNDU,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,1,52
1,SALARRI,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,52,78
2,TANGAN BARU,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,51,15
0,SABANG SUBIK,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,9,24
1,PAMBUSUANG,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,52,43
2,BALA,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,35,1
3,LAMBANAN,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,40,9
4,LEGO,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,38,6
0,DUAMPANUA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,61,28
1,KUNYI,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,58,72
0,PETAMPANUA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,44,3
1,TONROLIMA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,38,91
2,INDOMAKKOMBONG,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,15,64
3,BUNGA-BUNGA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,11,8
0,KALUMAMMANG,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,ALLU,1,47
1,ALU,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,ALLU,9,96
0,PULLIWA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,BULO,51,4
0,TOTOLI,0,0,0,1,SULAWESI BARAT,MAJENE,BANGGAE,15,72
1,RANGAS,1,0,0,0,SULAWESI BARAT,MAJENE,BANGGAE,6,40
2,PALIPI SOREANG,0,0,1,0,SULAWESI BARAT,MAJENE,BANGGAE,84,91
3,PAMBOBORANG,0,0,0,1,SULAWESI BARAT,MAJENE,BANGGAE,94,83
0,BETTENG,0,0,1,0,SULAWESI BARAT,MAJENE,PAMBOANG,81,90
1,BONDE UTARA,0,0,0,1,SULAWESI BARAT,MAJENE,PAMBOANG,51,91
2,BUTTU PAMBOANG,0,1,0,0,SULAWESI BARAT,MAJENE,PAMBOANG,31,72
3,BANUA ADOLANG,1,0,0,0,SULAWESI BARAT,MAJENE,PAMBOANG,11,78
4,ADOLANG DHUA,1,0,0,0,SULAWESI BARAT,MAJENE,PAMBOANG,18,68
5,PESULOANG,1,0,0,0,SULAWESI BARAT,MAJENE,PAMBOANG,1,72
0,MOSSO,1,0,0,0,SULAWESI BARAT,MAJENE,SENDANA,82,43
1,LALATEDZONG,0,0,0,1,SULAWESI BARAT,MAJENE,SENDANA,54,4
2,PUNDAU,1,0,0,0,SULAWESI BARAT,MAJENE,SENDANA,95,4
3,LIMBUA,0,1,0,0,SULAWESI BARAT,MAJENE,SENDANA,81,75
0,BAMBANGAN,1,0,0,0,SULAWESI BARAT,MAJENE,MALUNDA,79,96
1,LOMBANG,1,0,0,0,SULAWESI BARAT,MAJENE,MALUNDA,15,72
2,LOMBONG,0,1,0,0,SULAWESI BARAT,MAJENE,MALUNDA,40,15
3,MALIAYA,0,0,0,1,SULAWESI BARAT,MAJENE,MALUNDA,44,47
4,SALUTAHONGAN,1,0,0,0,SULAWESI BARAT,MAJENE,MALUNDA,84,23
0,KABIRAAN,1,0,0,0,SULAWESI BARAT,MAJENE,ULUMANDA,47,35
1,SAMBABO,1,0,0,0,SULAWESI BARAT,MAJENE,ULUMANDA,75,54
2,SALUTAMBUNG,0,0,0,1,SULAWESI BARAT,MAJENE,ULUMANDA,86,83
0,TAMMERODO,0,0,0,1,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,63,35
1,AWO,0,0,1,0,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,51,20
0,ONANG,0,0,0,1,SULAWESI BARAT,MAJENE,TUBO SENDANA,53,86
1,ONANG UTARA,0,1,0,0,SULAWESI BARAT,MAJENE,TUBO SENDANA,58,84
2,TUBO TENGAH,0,0,0,1,SULAWESI BARAT,MAJENE,TUBO SENDANA,40,66
3,TUBO POANG,1,0,0,0,SULAWESI BARAT,MAJENE,TUBO SENDANA,79,64
0,BAURUNG,0,0,1,0,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,31,3
1,TANDE,0,0,0,1,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,54,78
2,LABUANG UTARA,1,0,0,0,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,88,15
3,BUTTU BARUGA,0,0,0,1,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,92,20
0,BATU PARIGI,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,47,51
1,BAMBADARU,0,0,0,1,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,54,22
2,SEJATI,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,3,15
3,SALOADAK,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,82,20
0,SARTANAMAJU,0,0,1,0,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,32,71
1,LAMBA-LAMBA,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,43,72
2,KOMBILING,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,71,67
0,BABANA,0,1,0,0,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,67,86
1,LUMU,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,43,15
2,KIRE,0,1,0,0,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,54,58
0,BUDONG-BUDONG,0,1,0,0,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,8,38
1,TUMBU,0,0,0,1,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,20,91
2,SINABATTA,0,1,0,0,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,16,54
0,KAROSSA,0,1,0,0,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,95,1
1,TASOKKO,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,63,30
2,LARA,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,90,52
3,KAMBUNONG,0,0,1,0,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,58,70
